id,key,value,type
25248662,ref,京,regular
25248662,name,北京市,regular
25248662,rank,0,regular
25248662,place,city,regular
25248662,en,BJ,ref
25248662,vi,Kinh,ref
25248662,capital,yes,regular
25248662,DSG,ADM1,gns
25248662,UFI,-1898545,gns
25248662,UNI,9310007,gns
25248662,af,Beijing,name
25248662,am,ቤዪጂንግ,name
25248662,an,Pequín,name
25248662,ar,بكين,name
25248662,ay,Pekin',name
25248662,az,Pekin,name
25248662,ba,Пекин,name
25248662,be,Пекін,name
25248662,bg,Пекин,name
25248662,bn,বেইজিং,name
25248662,bo,པེ་ཅིང་གྲོང་ཁྱེར།,name
25248662,br,Beijing,name
25248662,ca,Pequín,name
25248662,cs,Peking,name
25248662,cv,Пекин,name
25248662,cy,Beijing,name
25248662,da,Beijing,name
25248662,de,Peking,name
25248662,dv,ބީޖިންގ,name
25248662,el,Πεκίνο,name
25248662,en,Beijing,name
25248662,eo,Pekino,name
25248662,es,Pekín,name
25248662,et,Peking,name
25248662,eu,Pekin,name
25248662,fa,پکن,name
25248662,fi,Peking,name
25248662,fo,Beijing,name
25248662,fr,Pékin,name
25248662,ga,Béising,name
25248662,gd,Beijing,name
25248662,gl,Pequín - 北京,name
25248662,gn,Pekĩ,name
25248662,gu,બેઇજિંગ,name
25248662,gv,Beijing,name
25248662,he,בייג'ין,name
25248662,hi,बीजिंग,name
25248662,hr,Peking,name
25248662,ht,Peken,name
25248662,hy,Պեկին,name
25248662,ia,Beijing,name
25248662,id,Beijing,name
25248662,io,Beijing,name
25248662,is,Beijing,name
25248662,it,Pechino,name
25248662,ja,北京市,name
25248662,jv,Beijing,name
25248662,ka,პეკინი,name
25248662,kk,Бейжің,name
25248662,kl,Beijing,name
25248662,km,ប៉េកាំង,name
25248662,kn,ಬೀಜಿಂಗ್,name
25248662,ko,베이징 시,name
25248662,ku,Pekîn,name
25248662,kv,Пекин,name
25248662,kw,Beijing,name
25248662,la,Pechinum,name
25248662,lo,ປັກກິ່ງ,name
25248662,lt,Pekinas,name
25248662,lv,Pekina,name
25248662,mg,Beijing,name
25248662,mi,Beijing,name
25248662,mk,Пекинг,name
25248662,ml,ബെയ്‌ജിങ്ങ്,name
25248662,mn,Бээжин,name
25248662,mr,ीजिंग,name
25248662,ms,Beijing,name
25248662,my,ပေကျင်းမြို့,name
25248662,na,Beijing,name
25248662,ne,बेइजिङ,name
25248662,nl,Peking,name
25248662,nn,Beijing,name
25248662,no,Beijing,name
25248662,oc,Pequin,name
25248662,os,Пекин,name
25248662,pa,ਬੀਜਿੰਗ,name
25248662,pl,Pekin,name
25248662,ps,بېجنګ,name
25248662,pt,Pequim,name
25248662,qu,Pikkin,name
25248662,ro,Beijing,name
25248662,ru,Пекин,name
25248662,sa,बीजिङ्ग्,name
25248662,sc,Beijing,name
25248662,si,බෙයිජිං,name
25248662,sk,Peking,name
25248662,sl,Peking,name
25248662,so,Beijing,name
25248662,sq,Pekini,name
25248662,sr,Пекинг,name
25248662,su,Beijing,name
25248662,sv,Beijing,name
25248662,sw,Beijing,name
25248662,ta,பெய்ஜிங்,name
25248662,te,బీజింగ్,name
25248662,tg,Пекин,name
25248662,th,ปักกิ่ง,name
25248662,tk,Pekin,name
25248662,tl,Beijing,name
25248662,tr,Pekin,name
25248662,tt,Пекин,name
25248662,ug,بېيجىڭ شەھىرى,name
25248662,uk,Пекін,name
25248662,ur,بیجنگ,name
25248662,uz,Pekin,name
25248662,vi,Bắc Kinh,name
25248662,yi,בייזשינג,name
25248662,yo,Beijing,name
25248662,za,Baekging,name
25248662,zh,北京市,name
25248662,ADM1,22,gns
25248662,ang,Beȝcinȝ,name
25248662,arz,بيكين,name
25248662,ast,Beixín,name
25248662,bcl,Beijing,name
25248662,bjn,Péycing,name
25248662,bpy,বেইজিং,name
25248662,cdo,Báe̤k-gĭng,name
25248662,ceb,Beijing,name
25248662,ckb,پێکەن,name
25248662,crh,Pekin,name
25248662,ext,Pequín,name
25248662,frp,Pèquin,name
25248662,gan,北京,name
25248662,hak,Pet-kîn,name
25248662,haw,Beijing,name
25248662,hif,Beijing,name
25248662,ilo,Beijing,name
25248662,jbo,beidjin,name
25248662,kab,Pekin,name
25248662,lez,Пекин,name
25248662,lij,Pechin,name
25248662,lmo,Pechin,name
25248662,mhr,Пекин,name
25248662,mwl,Pequin,name
25248662,mzn,پکن,name
25248662,nah,Pequin,name
25248662,nov,Beyjing,name
25248662,nrm,Péqùin,name
25248662,pam,Beijing,name
25248662,pap,Bejing,name
25248662,pdc,Beijing,name
25248662,pms,Pechin,name
25248662,pnb,بیجنگ,name
25248662,rue,Пекінґ,name
25248662,sah,Пекин,name
25248662,scn,Pechinu,name
25248662,sco,Beijing,name
25248662,srn,Beijing,name
25248662,szl,Bejdżing,name
25248662,tpi,Beijing,name
25248662,war,Beijing,name
25248662,wuu,北京,name
25248662,xal,Бәәҗң балһсн,name
25248662,xmf,პეკინი,name
25248662,old_name,北平,regular
25248662,wikidata,Q956,regular
25248662,wikipedia,en:Beijing,regular
25248662,population,13133000,regular
25248662,admin_level,2,regular
25248662,eo,Bejĝino,alt_name
25248662,fr,Beijing,alt_name
25248662,is,Peking,alt_name
25248662,sv,Peking,alt_name
25248662,zh-yue,北京,name
25248662,ku,Komara Gel a Çînê,old_name
25248662,vi,Bắc Bình,old_name
25248662,bat-smg,Pekėns,name
25248662,cbk-zam,Pekín,name
25248662,roa-rup,Beijing,name
25248662,country,China,is_in
25248662,roa-tara,Pechine,name
25248662,be-tarask,Пэкін,name
25248662,zh_pinyin,běijīng shì,name
25248662,continent,Asia,is_in
25248662,zh-min-nan,Pak-kiaⁿ-chhī,name
25248662,iso_3166_2,CN-11,is_in
25248662,zh-classical,北京市,name
25248662,country_code,CN,is_in
25248662,zh-simplified,北京市,name
25248662,zh-traditional,北京市,name
25248785,highway,traffic_signals,regular
25248786,highway,traffic_signals,regular
25248787,highway,traffic_signals,regular
25248790,highway,traffic_signals,regular
25248791,highway,traffic_signals,regular
25585082,highway,traffic_signals,regular
25585093,highway,traffic_signals,regular
25585099,highway,traffic_signals,regular
26535008,created_by,YahooApplet 1.0,regular
26535016,created_by,YahooApplet 1.0,regular
