id,key,value,type
4822342,highway,residential,regular
4845049,name,筒子河,regular
4845049,water,moat,regular
4845049,de,Palastgraben,name
4845049,en,Palace Moat,name
4845049,natural,water,regular
4928045,oneway,yes,regular
4928045,highway,secondary_link,regular
4964850,oneway,yes,regular
4964850,highway,secondary_link,regular
5168733,layer,1,regular
5168733,bridge,yes,regular
5168733,highway,footway,regular
5169113,name,西三环南路,regular
5169113,oneway,yes,regular
5169113,highway,trunk,regular
5218028,name,东三环中路,regular
5218028,oneway,yes,regular
5218028,highway,trunk,regular
8861571,oneway,yes,regular
8861571,highway,tertiary,regular
9488290,landuse,forest,regular
9760555,layer,-1,regular
9760555,tunnel,yes,regular
9760555,waterway,canal,regular
9932209,name,青年北路,regular
9932209,oneway,yes,regular
9932209,highway,secondary,regular
13514983,name,广安路,regular
13514983,oneway,yes,regular
13514983,highway,primary,regular
13514983,en,Guanan Street,name
13514983,surface,asphalt,regular
13514983,int_name,Guang'an Lu,regular
22067160,name,奥林西路,regular
22067160,oneway,yes,regular
22067160,highway,secondary,regular
22067160,en,Aolin west road,name
22067160,fr,Route Ouest àolín,name
22067160,zh,奥林西路,name
22067160,zh_pinyin,àolín xī lù,name
22758748,oneway,yes,regular
22758748,highway,tertiary_link,regular
22787857,aeroway,runway,regular
22787857,ref,18L/36R,regular
22787974,aeroway,taxiway,regular
22788765,layer,1,regular
22788765,bridge,yes,regular
22788765,oneway,yes,regular
22788765,highway,tertiary_link,regular
22798028,name,广渠门桥,regular
22798028,layer,1,regular
22798028,bridge,yes,regular
22798028,oneway,yes,regular
22798028,highway,primary,regular
22798028,en,Guanqumen Bridge,name
22798028,int_name,Guanqumen Qiao,regular
22799953,name,紫荆路,regular
22799953,access,permissive,regular
22799953,highway,service,regular
22799953,en,Zijing Road,name
22800081,name,民安街,regular
22800081,highway,tertiary,regular
22800081,en,Min‘an Str,name
22800081,ru,улица Миньаньцзе,name
23023864,aeroway,taxiway,regular
23116014,oneway,yes,regular
23116014,highway,trunk_link,regular
23215490,name,南顶路,regular
23215490,source,bing,regular
23215490,highway,tertiary,regular
23215490,int_name,Nanding Road,regular
23351581,name,月坛南街,regular
23351581,highway,tertiary,regular
23351581,en,Yuetan South,name
23351581,int_name,Yuetan Nanjie,regular
23720836,name,东四环北路,regular
23720836,oneway,yes,regular
23720836,highway,tertiary,regular
23892431,name,Sanlitun Zhongjie,regular
23892431,highway,unclassified,regular
24269499,name,广渠门北滨河路,regular
24269499,lanes,3,regular
24269499,oneway,yes,regular
24269499,highway,trunk,regular
24269499,int_name,Guanqumen Beibinhe Lu,regular
24447770,oneway,yes,regular
24447770,highway,tertiary_link,regular
24476183,leisure,park,regular
24476207,name,神路街,regular
24476207,highway,residential,regular
24476207,en,Shenlu Str,name
24476301,name,Lian Feng Hutong,regular
24476301,highway,service,regular
24476301,service,alley,regular
24476336,name,芳草地西街,regular
24476336,highway,residential,regular
24476336,en,W. Fangcaodi Str,name
24476437,name,柏树胡同,regular
24476437,highway,residential,regular
24476437,en,Baishu Hutong,name
24691129,bridge,yes,regular
24691129,highway,trunk_link,regular
24691129,oneway,yes,regular
24790443,highway,residential,regular
24797748,ref,G6,regular
24797748,name,北京-拉萨高速公路,regular
24797748,lanes,3,regular
24797748,oneway,yes,regular
24797748,highway,motorway,regular
24797748,alt_name,八达岭高速,regular
24797748,short_name,京藏高速,regular
24797748,en,Badaling Expressway,alt_name
24804551,oneway,yes,regular
24804551,highway,tertiary_link,regular
24804766,name,Xianhai Nanyan,regular
24804766,highway,residential,regular
24804766,created_by,Potlatch 0.10f,regular
24804857,highway,service,regular
24806468,name,利泽东二路,regular
24806468,oneway,no,regular
24806468,highway,tertiary,regular
24825443,name,大观园,regular
24825443,en,Grand View Garden,name
24825443,tourism,attraction,regular
24851370,layer,1,regular
24851370,bridge,yes,regular
24851370,railway,rail,regular
24851972,railway,rail,regular
24861485,name,西长联络线,regular
24861485,railway,rail,regular
25004584,highway,footway,regular
25004584,surface,unpaved,regular
25004584,tracktype,grade5,regular
25004605,highway,footway,regular
25004605,surface,unpaved,regular
25004605,tracktype,grade5,regular
25006941,name,武圣路,regular
25006941,oneway,yes,regular
25006941,highway,tertiary,regular
25006941,en,Wusheng Road,name
25057473,railway,abandoned,regular
25091486,highway,secondary,regular
25091486,int_name,Wusi Dajie,regular
25091486,name,五四大街,regular
25091486,en,Wu Si Daije,name
25091486,trolley_wire,yes,regular
25091663,name,京沪线,regular
25091663,en,Jinghu Line,name
25091663,zh,京沪线,name
25091663,railway,rail,regular
25094906,name,西长联络线,regular
25094906,railway,rail,regular
25094906,embankment,yes,regular
25097188,building,yes,regular
25122430,en,Border Beijing - Hebei,name
25122430,boundary,administrative,regular
25122430,admin_level,4,regular
25189613,highway,tertiary,regular
25189613,name,文华西路,regular
25189613,en,Wenhua West Road,name
25189613,source,landsat,regular
25196966,name,北京铁路枢纽东北环线,regular
25196966,railway,rail,regular
25196966,electrified,contact_line,regular
25199158,railway,rail,regular
25214173,highway,footway,regular
25285928,layer,1,regular
25285928,usage,main,regular
25285928,bridge,yes,regular
25285928,railway,rail,regular
25285928,maxspeed,350,regular
25285928,highspeed,yes,regular
25375821,name,Beijing Aquarium,regular
25375821,ru,Аквариум,name
25375821,zh,北京海洋馆,name
25375821,building,yes,regular
25375845,name,African Animal Zone,regular
25375845,building,yes,regular
25375857,name,Mandrill House,regular
25375857,building,yes,regular
25375868,building,yes,regular
25409132,highway,footway,regular
25409132,surface,unpaved,regular
25409132,tracktype,grade5,regular
25409147,highway,footway,regular
25409147,surface,unpaved,regular
25429577,waterway,river,regular
25446420,name,长春桥,regular
25446420,layer,1,regular
25446420,bridge,yes,regular
25446420,oneway,yes,regular
25446420,highway,tertiary,regular
25476184,name,西长联络线,regular
25476184,railway,rail,regular
25478207,name,北京国际会议中心,regular
25478207,en,Beijing International Convention Center,name
25478207,ja,北京国際会議中心,name
25478207,ko,북경 국제 회의 중심,name
25478207,ru,Пекинский международный конференц-центр,name
25478207,zh,北京国际会议中心,name
25478207,building,yes,regular
25478207,zh_trad,北京國際會議中心,name
25478207,zh_pinyin,Běijīng Guójì Huìyì Zhōngxīn,name
25659827,highway,footway,regular
25686057,ref,G6,regular
25686057,name,北京-拉萨高速公路,regular
25686057,lanes,2,regular
25686057,oneway,yes,regular
25686057,highway,motorway,regular
